,remark
828,清明节 假期 安排 开市 休市
829,不想
830,恒生 科技 指数 反弹 几个 起步
831,年报 重仓股 app 支付宝 同花顺
832,操作 策略 操作
833,操作 持有 股全 垃圾
834,HK
835,持仓 三次
836,发生
837,历害 明星 四十 点多
838,关键 调出 第一重 邮政 银行
839,10 块钱 成本 回去
840,干爆 长期 持有 天天 捂脸
841,乱选 行不行 不行 滚蛋
842,财经 晨信 30
843,混合型 证券 投资 2021 年度报告
844,25 理财 攻略 赎回 黄金 港基 消费
845,算少
846,起飞
847,华夏银行 20 资产 股价 几十元 资产 170
848,起飞
849,每日 点评 29
850,回到 解放前 节奏
851,忍着 利润 回吐 不看
852,破烂 劳资 亏损 20%
853,大火 恒生 科技
854,打电话 确认 回复 七年 时间
855,阿坤 调仓 两个 一条
856,sb 操盘
857,收益
858,两元 小时候 这张 两元 东西
859,幸亏 去年 阿坤 水平 赶上 挣钱
860,抄底
861,内卷 外患 暴跌 三月 兵败如山倒 主力
862,寂寞
863,市场 参与者 超级 英雄
864,成绩 天天 无能 一点 风控
865,一年 三十六点 随便 雇人 不过如此
866,发帖 时止 暂时 领涨 三只 截图 所示
867,鸡血 回光返照 两天 无力回天
868,消费 依然 未来 主题 循环 动力 不涨
869,股价 七年 垃了 二十倍 业绩 七年 增长 1.4
870,太难
871,回辙 尚可 标的
872,天天
873,混合型 证券 投资 2022 31 日至 202
874,财经 晨信 28
875,上星期
876,终将 美好
877,行情 走势图
878,2022.3 25 指数 估值 播报 利用 螺丝钉 星级
879,2021 下半年 每月 购买
880,加油
881,子弹 有色 下周 几天 开挂
882,坤儿 加油
883,副总裁 副总裁 水平
884,倒数 第一 厉害
885,课堂
886,加仓 时机 重仓 三年 三年 收钱
887,天下第一 韭菜 昨天 割肉
888,这基 配置 公司 前十 持股
889,一帮 摆设
890,能涨 不加 大哭
891,QDII OTCFUND 110011
892,张头 葛兰 买酒 没用 抛售
893,有方 --- 新一代 年轻人 投资 通用 方案
894,环境 世界 不安
895,江山 代有 人才 成王败寇
896,垃圾
897,足足 一年 越亏
898,恶心 金牛 买回来
899,调仓 能力
900,QDII OTCFUND 110011
901,这支 节操
902,公司 自购 限购 万元
903,QDII OTCFUND 110011
904,脑子 有病
905,动态 报告 发帖 时止 欧洲 指数 状况 截图 所示
906,逆势上涨 资源
907,重仓 银行 银行 指数 涨跌 高度 相关
908,投资 价值 股市 故事
909,牛市 空仓 熊市 满仓 哪种 痛苦 ## 收益
910,下午 拉红
911,手续费
912,怀揣 梦想 买基 冬瓜 马铃薯 鳄鱼 亏成 壁虎
913,坤哥
914,满仓 亏损 20%
915,公开 资讯 腾讯 2021 净利润 2248.2 亿元 同比 增长
916,真棒
917,预计 长期 跟定
918,明天 估计 回本瑶瑶 无期
919,个点
920,历史 增强 信心
921,葛兰 胜过
922,五粮液 不景气 拖后腿
923,酒坛子
924,不出意外 惊喜
925,涨得 对冲 滴汗
926,首批 只公募 REITS 正式 上市 后续 关注 哪些项目
927,良心 真够 义气 几年 跟定
928,持有
929,中午 随便
930,QDII OTCFUND 110011 10 年内
931,煤炭行业 还会 上涨
932,坤哥 大涨
933,一加 封底 加仓
934,良心 优秀
935,A股 历史 大底 股市 前景
936,加油 加油
937,肯定 腾讯 仓位
938,医疗 出路
939,不错
940,睡醒 来个 反弹
941,发型 寒冬 克服 市场 恐慌 情绪 逆行
942,半死不活 明年 回本
943,只好
944,政策底
945,市面上 低估 宽基 指数
946,算是 给力
947,重仓股
948,QDII 性质 投资 海外 市场 同类
949,33
950,坤哥 会涨
951,整年 建设
952,名气 四五十年 后会涨 偷笑
953,物极必反 盛极必衰 行情 绝望 诞生 犹豫
954,一年 一年 辈子 血霉
955,几句话
956,葛兰
957,QDII OTCFUND 110011 有个
958,偷吃
959,垃基
960,亏损 30 多个 晕死 滴汗
961,快报 业绩 硬道理 超低 市盈 最具 潜力 上涨 空间
962,2022 感悟 投资 越来越
963,谈谈 新能源 汽车 发展 现状 前景 新能源
964,真的 40% 亏损
965,高光 时刻 十个
966,垃圾
967,坤哥 高光 时代 20%
968,常态 加仓 当天 下跌 幅度 大于 少量
969,反转 价值 投资 简单
970,大盘 连阳 后市 投资 机会
971,加油 坤哥
972,一碗
973,一年 24% 小坤 无能
974,人到中年 越来越 舍不得 花钱
975,这是
976,关联 俄乌 冲突 蕴含 投资 机会
977,处于 历史 低位 A股 处于 低位
978,卧槽 启动
979,欧股 收盘 德国 DAX30 指数 收涨 0.15% 英国 富时 100 指数
980,反弹 医药 生物 春天
981,公募 自购 再起 明星 乐观 后市 公募 再现
982,3200 之上 震荡 上涨 还会 市场
983,去年 盈利 情况
984,周一 个点 这帮 基民 晚盘
985,不错
986,3.18 收评 午后 金融 领涨 周末 降息 利好
987,18 午后 指数 回暖 小财 选择 耐心
988,限购 果断 卖掉 开放 分批 买入 人品
989,活久见 10 个点 赚大
990,投资 角度看 新能源 汽车 相关 板块 毫无疑问
991,已减 加仓
992,暴力 反弹 别忘了 投资
993,35
994,手续费 太爽了
995,下跌 行情 战争 结束 意义 死去
996,可怕 到来 A股 下探 基民
997,4000 费扣 120 购买 费率 百分之 1.5
998,两天 反弹 红帽子 感觉 幸运
999,坤哥 涨个 10%
1000,再涨 6% 回本
1001,两天 15 个点
1002,app 差近 20 个点 回本 加油
1003,明天 估计 大跌
1004,重仓股
1005,终于
1006,看多
1007,短期 返红 鼓掌
1008,明天 再动
1009,北向 资金 今日 买入 53.65 亿元 东方 财富 宁德 时代
1010,一年 回撤 40 个点
1011,这货 投资 标的
1012,03 16 会涨 10% 股票 10% 涨停
1013,脾气 10 个点
1014,前期 跌得 惨重 昨天 大于 10% 确实 惊艳
1015,涨停 清醒
1016,拓宽 视野 周三 涨幅 一年
1017,投资 弱者 思维 真的
1018,光伏 发电 表现 发展 速度 光伏 发电
1019,市场 市场 调性 长期 放心
1020,最少 4.5% 微笑
1021,几个
1022,买入
1023,新能源 混动 渗透率 8% 电动 渗透率 23%
1024,新能源 汽车 这一 行业 未来 市场 预期
1025,国家 能源 发布 数据 显示 截止 11 月底 全国 太阳能 发电
1026,短期 波动 忽略 在乎 长远利益
1027,10.1%
1028,2022 能源行业 加速 发展 一年
1029,追涨
1030,一年 41 个点 真的
1031,六元 多卖 这涨 10% 好凶 回到 远离
1032,王者 归来
1033,昨天 三天 回本 大笑
1034,开放
1035,再长 10 点才 回本
1036,比太高
1037,这一波 职业生涯 第二 杰作
1038,办法 回本
1039,第一次 10
1040,昨日 市场 暴涨 一点 思考
1041,昨天 全清 大涨 玩儿
1042,QDII OTCFUND 110011 15 忍住
1043,概帮 五代 长老 涨停 出手
1044,春暖花开 万基 复苏 挺下去 加油
1045,10 少见 历害
1046,鼓掌
1047,卧槽 10% 头一回 可惜 自选
1048,2.6 成本 不信
1049,拓宽 视野 一年 成立
1050,回本 成本 9.0
1051,情况 加仓
1052,涨停 回本 哈欠
1053,不离 不弃 捂脸 捂脸 捂脸 捂脸
1054,前天 割肉 兄弟 估计 后悔 跳高
1055,排名 走势图
1056,趋势 作伴 学习 克制 舞蹈 司基长
1057,表现
1058,10 个点 27
1059,最高点 幸好 补仓 再涨 10 个点 回本
1060,加大力度
1061,任凭风浪起 稳坐钓鱼船
1062,还好 放弃
1063,QDll 含义 合格 境外 投资者 你够 合格
1064,啥时候 调仓 好久没
1065,10% 1% 不敢相信 眼睛
1066,10 多年 说起
1067,10 个点
1068,三天 回本
1069,坤哥 再涨 10%
1070,不敢相信
1071,涨幅 夸张 三月份 投资收益 变化
1072,值得 信赖 人品 赚钱 正道 越来越
1073,34%
1074,三点 前卖 明天 涨幅 明天 关联
1075,事儿
1076,终于 扬眉吐气 一回 回本 遥远 加油
1077,看涨 金额 只涨 涨停板
1078,有没有 app 去年 有个
1079,10 个点 罕见
1080,再来 涨停 回本
1081,37 没多大
1082,勇敢 爱坤永 相随
1083,亏死 活该
1084,明天 看交银 海外 25 个点 天弘 恒生 科技 20
1085,最靓
1086,10 个点
1087,看好 国运 坚定 持有 静待 花开
1088,昨天 割肉 股票 涨得
1089,活久见
1090,中概 大涨
1091,经历 首次
1092,厉害
1093,开眼 没见
1094,好好 看不上 改名 造孽
1095,涨幅 活久见 惊吓
1096,10.01%
1097,心脏 受不了 大笑
1098,第一次 涨停 眼角
1099,恶心 第一次
1100,第一次 涨停 滴汗
1101,能力 竟能 6.24% 高手
1102,加油
1103,昨天 加仓 加少
1104,昨天 割肉 心情 十个 点活
1105,刘彦春强 刘音 投资者 不负责任
1106,为啥 40 10 个点 34 30
1107,棒棒 加油
1108,昨天 进场 朋友 有没有 微笑
1109,回本 遥遥无期
1110,回本 遥遥无期
1111,这是 涨停
1112,涨停
1113,10.10 活久见 加油 两年 50% 干到
1114,相差 六个
1115,三天 跌出 14% 状态 连来 几天 看多
1116,涨幅 记录
1117,扬眉吐气
1118,清醒 三天 14 个点 口罩 真的 记忆 三秒
1119,破天荒 大笑 大笑 大笑
1120,第一次 超过 10 个点
1121,30.26
1122,牛笔
1123,涨停
1124,买出 股票 感觉
1125,不卖 有钱
1126,10 个点 股票 涨停
1127,人品
1128,感觉 改名 中概 互联网 企业
1129,真牛
1130,涨幅 10.1% 涨停 真系 颠覆 认知
1131,10 个点
1132,10 个点
1133,mmp 总算 一口 老血 唯一 遗憾 昨天 补少
1134,佩服
1135,希望
1136,途人 明白 风吹雨打 变样 鼓掌
1137,给力
1138,克拉斯
1139,回本 路上 捂脸
1140,两次 回本
1141,三下
1142,股票 涨停 大笑
1143,涨停 好像 一支 股票
1144,中国 股神
1145,特拉斯 10 个点
1146,终于 扬眉吐气 一把 明天
1147,失望
1148,见证 历史
1149,封神
1150,10 个点 意难平 几个 10
1151,天下无双
1152,涨停
1153,净值 不好
1154,10 个点
1155,QDII OTCFUND 110011 波动
1156,涨停
1157,3000 能亏 1500
1158,跌时 涨时
1159,三个
1160,发生
1161,估值 个点 app 多点
1162,一年 多负 40 回撤 大神
1163,名副其实 多人 持有 看不懂
1164,事出 反常 必有 投资 需谨慎 心态 市场
1165,明天
1166,卧槽 没加仓 大哭
1167,QDII OTCFUND 110011
1168,错过 昨天 滴汗
1169,昨天 五千 试试
1170,希望 净值 低于 估值 好不容易
1171,长见识了 腾讯 鼓掌 短期 绿色 加油
1172,有没有 骂人 有没有
1173,感谢 国家队
1174,意外
1175,总算 一口 老血
1176,周二 15 点前 买入 周三 涨跌 有没有 关系
1177,更新 莫让 失望 39 多点
1178,昨天 大胆 500 没想到
1179,终于 发疯
1180,本事 拉回来 原谅
1181,疯狂 困惑
1182,京东 上涨 36% 刺激
1183,春日 来临 一年 处境 艰难 概股 2022
1184,看好 心态 面对 市场
1185,今晚 惊喜 献花 献花 献花
1186,吃不消 吓死人 涨跌
1187,至少 10 个点
1188,个点 收益 大笑
1189,厉害
1190,110011 加油 公募 一哥 加油 盼望 王者 早日 归来 基民
1191,左天 有加
1192,坤哥 NB
1193,昨天 一半
1194,加仓 加少
1195,勇敢
1196,优秀 奇葩
1197,千万别 变化 哎涨 后悔 没加仓 后悔 没跑
1198,几天 补仓 一大 我快 解套
1199,我来 骂娘
1200,明天 跌下来
1201,跌成 熊样 优秀
1202,追高 闲钱 投资 分批 低吸 或定 投才 成功 投资
1203,买点 医药 两棵树 吊死
1204,市场 狂欢 起点 阿门
1205,回来
1206,昨天 加仓 周亏 涨回来
1207,市场
1208,卧槽 补仓 力度 大笑
1209,22 行业 发展 行业 盈利 预期
1210,论要 赚回 40%
1211,双碳 目标 之下 绿色 转型 大势所趋 去年
1212,鸡精 关系
1213,惊人 疯狂 反弹
1214,麻辣
1215,QDII OTCFUND 110011 今晚
1216,终于 知耻而后勇 兄弟 抓紧时间 撤退
1217,闲钱 分批 买点 旺柴
1218,5.90% 还敢
1219,BBQ
1220,5000 随便 随便 补仓 交银瑞丰 捂脸
1221,QDII OTCFUND 110011
1222,大盘 底部 一段距离 骂娘
1223,三千
1224,海康 天天 天天
1225,回血 菜坤 第一 主力
1226,终于 总出 口气 大笑
1227,去年 净值 10 元多到 净值 元多 突子 厉害
1228,平均 六点 请教 大神 本事
1229,多余 更是 祸害 自个
1230,股票 跌得 两天 十几个 副总裁 极品
1231,回撤 39
1232,哈哈哈 17 个点
1233,解释
1234,一半
1235,马克
1236,大盘 跌破 3100 A股
1237,20 月份 买入 5.6 涨到 10 期间 补仓
1238,亏掉 裤子 QDII 110011
1239,盈利 110 盈利 26 每次 局面 感觉 快到
1240,六十多 十几万 真服了
1241,两天 十二个
1242,涨跌幅 伤心
1243,真的 垃圾
1244,QDII OTCFUND 110011 大坤
1245,不见
1246,坤哥 说句话
1247,跌得 这钱 打算
1248,飞流直下 不见 下跌 选坑
1249,太惨 不可思议 直视
1250,明白 腾讯 核心技术
1251,短期 下跌 更好 发展 加倍 买入 获利
1252,副总裁 级别 真的 牛批 选择 涨跌
1253,30% 真服
1254,请问 两天 不爽 持有 两万
1255,什好 两天 13 个点
1256,菜坤 真材实料
1257,要死 他妈 幸亏 妈解
1258,请问 股票 六个 多点
1259,15 日早 开盘 不到 10 分钟 北向 资金 再度 卖出 35.83
1260,跌前 几天 受不了 想着 亏了 躲过
1261,新能源 走高 五年
1262,明天 进场 先干 50% 仓位 大笑
1263,QDII OTCFUND 110011 这是 健康
1264,天买 1000 60 再赔 200 元后
1265,新能源 汽车 预期 增长 内生 动力
1266,困惑
1267,股票 开启 不要脸 模式
1268,666
1269,最有 号召力 多头
1270,股票 刺激 两天 十多个
1271,谈谈 新能源 投资 一点 观点 看法
1272,坤哥 聪明一世 糊涂一时 真的 好好 基中 小盘
1273,sb
1274,割肉 有人
1275,干嘛
1276,盈利 80% 勉强 保本 赎回
1277,双重 打击
1278,好像 泰坦尼克号 惨烈 喘气 南无阿
1279,希望
1280,持仓 最差 两只
1281,还好 上周
1282,卖不卖 大佬
1283,腰斩
1284,骗子
1285,麻木
1286,会涨
1287,上周
1288,12 个点
1289,真的 恶心 没想到 买个 40% 一年 真的 恶心
1290,两天 11 个点 垃圾
1291,走后门 只不过 QDII 排名 优秀
1292,赎回
1293,看好 A股 中长期 走势 多只 放开 申购
1294,业绩 排名 优秀 后门
1295,国内 搞好 国外
1296,冰点
1297,国外 月亮 国内 偏要 国外
1298,中概 含量 偏高 这波 精准 狙杀 一个月 调整
1299,昨天 有个 11%
1300,不到 一个月 亏了 20% 大哭
1301,两天 10 个点
1302,天天 安心 睡着
1303,用烂
1304,算你狠 你够
1305,利润
1306,两天 十个
1307,厉害 两天 十个
1308,自购 最佳时机
1309,垃圾 直线 下降
1310,败家子 投资者 全赔
1311,轻仓 投资者 5.5 分批 买进 或定
1312,微笑
1313,天天
1314,无耻 从未见过 厚颜无耻
1315,毛台 七年 业绩 增长 1.4 股价 七年 二十倍
1316,这坑 每次
1317,这是 竞跌 游戏
1318,盈亏 经历 长期 持有 大跌 大买
1319,关灯 吃面 关灯 吃面 价值 投资
1320,牛皮 6.24% 天才 欲哭无泪
1321,不看 一看 吓一跳 幸亏
1322,垃圾
1323,3.15 打假
1324,一周 评级 优秀 真笑 死个 苍蝇 大笑
1325,跌停板
1326,倒闭 算了
1327,废材
1328,坚守
1329,好意思 好歹 两天 天天 大绿
1330,垃圾 垃圾
1331,佩服 放开 申购 天天 放开 舒服 高到
1332,张空
1333,赶紧
1334,点多 要点
1335,不行 换人
1336,一大早 刺激 预测 还会 上周 一大
1337,恐怖
1338,快点 辞职
1339,放开 申购
1340,看不懂 解释
1341,天天
1342,QDII OTCFUND 110011
1343,QDII OTCFUND 110011
1344,反正 亏了 无所谓
1345,赢家
1346,股票
1347,极品 极品 成交 成交 成交 成交 成交
1348,滚蛋 血汗钱 亏光 成交 成交 成交
1349,心疼 省吃俭用 血汗钱 蚕食 付钱 嗜血
1350,基一 完要 理智 七年 业绩 增长 1.4 股价 七年
1351,QDII OTCFUND 110011
1352,请君入
1353,辉煌
1354,两年 没红过
1355,深套 建议 远离
1356,有病 腾讯 京东
1357,真的 太差 太差 太差 太差
1358,评论 区戾 未免 太重 厉害 干嘛 股票
1359,QDII OTCFUND 110011
1360,QDII OTCFUND 110011
1361,QDII OTCFUND 110011
1362,功课 复习 盈利 前题 之下 连续 上涨 减仓
1363,上周 亏了 30 个点 一看 感到
1364,QDII OTCFUND 110011
1365,第一 倒数
1366,老子 感觉
1367,选股 能力 实在 不敢恭维
1368,持有 一年 40% 隔壁
1369,羞耻
1370,不看 还好 一看 吓一跳 伤不起
1371,惨烈
1372,传割洋 韭菜 中概 回港 割港 韭菜
1373,厉害
1374,多头
1375,没事 没事 没事 大笑
1376,情况
1377,小坤坤 惨咯
1378,跌麻
1379,崩塌
1380,真的 坤儿
1381,坑人 垃圾
1382,要不了 多久 短裤
1383,暴跌 来得 猛烈
1384,追随 多年 从易 基中 小盘 投资 110011
1385,入坑
1386,看过 周应波 中欧 创新 未来 18 封闭 四季 报中
1387,发抖
1388,长期 三年
1389,这鸡 季报 估计 130 亿去
1390,阶段 跌成 优秀
1391,这是 重仓 京东
1392,TMD 人才 点脸
1393,这是 真的 基民 当会事 跌成 狗样
1394,NMB 跌停
1395,感觉 人生 达到高潮
1396,跌幅 40% 太惨
1397,玩意儿 暴跌 恶心
1398,麻烦 六个 多点 持有
1399,水平
1400,玩意儿
1401,跌多涨少 大哭
1402,该基 无语
1403,跌幅 40% 滴汗
1404,六个 多点 水平 无语
1405,净值 估算 算进去
1406,垃圾
1407,放心 十年 回本
1408,人才
1409,这跌 10
1410,小坤 调整 越跌 换个 名字 水平
1411,垃圾 垃圾
1412,不敢相信
1413,跟着 三天 饿九顿
1414,ikun
1415,绝望 贵司 不停 发新 圈钱
1416,人才 点多
1417,亏了 基民 几百亿 阿坤 一辈子
1418,40 个点 咋办 心疼
1419,图片
1420,家伙 跌近
1421,克拉斯
1422,水平 副总 不解
1423,厉害 再创新高
1424,天在 报应
1425,优秀
1426,净值 估值 差近 二个
1427,转战 港基 哈哈哈 人头
1428,刺激
1429,爆粗
1430,净值 过分
1431,优秀 排名 优秀
1432,产品 净值 下跌 5% 对不起 张牙舞爪
1433,坚定 价值 投资者
1434,一年 跌近 30% 厉害
1435,去年 最高点 跌掉 50%
1436,TM 股票
1437,同类 优秀 评估
1438,本轮 油价 上涨 两年 欧美国家 疯狂 印钞 宽松
1439,还好
1440,混蛋
1441,去年 反对 改变 性质 可惜 人微言轻
1442,顶上 股票 幅度
1443,普通人 购买 黄金价格 挂钩 合适 起购
1444,建信 上海 ETF 联接 不错 选择 投资 上海
1445,小盘
1446,混是
1447,个点 第一重 仓是 招商银行
1448,赎回
1449,这是 涨少
1450,最低
1451,跌幅 挺大 持仓 股票 超跌
1452,投资 过程 三个
1453,还算 跌停
1454,完蛋
1455,天上掉 机会 坚定 看好 希望 三成
1456,十元 成本 一半 水平 真高 随便
1457,一周 10 个点 真够
1458,趋势
1459,别买 去年 一年 回本
1460,抄底 微笑
1461,仓位 抄底
1462,谢谢
1463,不想 打开 看太惨 忽悠 上周 专家 企稳
1464,涨过
1465,会破
1466,QDII OTCFUND 110011
1467,只基 好像 涨过
1468,关闭 交易
1469,奶奶
1470,好像 diy
1471,基民 希望 认可
1472,净值 成交 净值 成交
1473,丧门星
1474,很快 时代 信不信
1475,改改 暴涨暴跌 毛病
1476,发财 全清 上周 一半 全清
1477,基金净值 成功 10 点多 降到 五点 加油 好好 跌倒
1478,恭喜 创新
1479,恭喜 创新
1480,幸亏 上周
1481,惨过 底泥 大哭
1482,暴跌
1483,tm 一年
1484,失算
1485,真的 黄泥 烤鸡
1486,上周 一半 做定 清仓 一周
1487,亏了 一年 改张
1488,接盘 亏大 亏大
1489,A股 没弄 明白 投资 干吗
1490,坤哥 破纪录 43% 回撤
1491,十块钱 咋啦
1492,还好 不好
1493,二百 建仓
1494,失望
1495,大盘 大盘 大跌 真服了
1496,评论 几个 大部分 绿色
1497,卧槽 TM 废材
1498,打开 申购 市场 见底 两次 上百
1499,调仓
1500,本事 大跌 小跌 小涨 大涨
1501,垃圾
1502,自信
1503,打算 微笑
1504,重仓股
1505,投资 简单 八个 买定离手 完不动
1506,真的 垃圾
1507,菜坤 肯定
1508,4.6 悬念
1509,建仓
1510,表现 优秀
1511,不以 涨喜 不以
1512,赎回
1513,净值 10.73 5.9
1514,净值 腰斩 不要脸
1515,03 11 基金净值 及周 涨跌 股票 消费
1516,越来越 完蛋
1517,回事 亏了 30%
1518,大神 指点 小白 适合 入场
1519,无语
1520,深套 情况 止损 情况 坚定
1521,买基 追前 几名 无非 泡沫 一支 几名
1522,改名 换仓 底线
1523,进场
1524,想法 设法 恨不能
1525,有没有 垃圾
1526,金牛 几年 回本
1527,真的 想法
1528,无耻 一点
1529,酒神 不行
1530,30 个点 丢人 丢人 小心 出门 雷劈
1531,无语
1532,天天
1533,A股 明白
1534,垃圾 cs
1535,图片
1536,看空 关灯 吃面
1537,这支 越来越
1538,不行 反思 后悔
1539,抄底 持仓
1540,加油
1541,QDII OTCFUND 110011 这行
1542,要死
1543,持有 短期 微薄 利润 滴汗
1544,表现 优秀 评价 标准
1545,明白 涨跌 当天
1546,NM
1547,下周
1548,打工 投资人
1549,加油 努力
1550,终于 开门 鼓掌
1551,大部分 下午
1552,放开 申购 限额 见底 信号
1553,下午 冲上来 真够 垃圾
1554,滚蛋
1555,喝人血 东西
1556,有病 零点 几个
1557,垃圾 手里
1558,内幕 交易 回撤 30 显示 性价比 极高 指标
1559,垃圾 开仓 垃圾
1560,昨天
1561,五个 交易日 四天
1562,极品 人才 成交 成交
1563,这支
1564,股市 下跌 力量
1565,惊人 不休
1566,利润 快跌 回去
1567,优秀
1568,恶心
1569,大盘 抄底 脾气 罢休 别想
1570,跌多涨少 垃圾
1571,买入 奸笑
1572,真够 垃圾
1573,一个劲 下跌
1574,京东 太猛
1575,QDII OTCFUND 110011 转名
1576,垃圾
1577,还好 心疼 重仓
1578,一点 真行
1579,翻倍
1580,十五年 下跌 忍无可忍 情况
1581,三点 几的面 这基 腰斩 建仓
1582,翻倍 两年 23 个点
1583,QDII OTCFUND 110011 转名
1584,举报 优秀
1585,市场 反弹 反弹 市场趋势 向下
1586,一点 加量 回去
1587,哈哈哈 厉害 抱拳
1588,中概 mini
1589,我天 没救
1590,QDII OTCFUND 110011 活埋
1591,看着 分红 快多 这会 跌倒
1592,QDII OTCFUND 110011 美股 京东
1593,QDII OTCFUND 110011
1594,QDII OTCFUND 110011
1595,没救
1596,良心 多才 放开 购买 张大 人品
1597,己经 文明用语 忍无可忍 无需 再忍
1598,几年
1599,1.87%
1600,涨得 最少 最慢
1601,QDII OTCFUND 110011 张困
1602,天大 喜信 顶流 jj 吃瓜
1603,QDII OTCFUND 110011 自以
1604,QDII OTCFUND 110011 自以
1605,公募 一哥 开放 申购 抄底 信号 选择 没来
1606,公募 一哥 开放 申购 抄底 信号 选择
1607,国恩 股份 22.8 季报 1.82 市盈 小盘 材料 新能
1608,一年 成绩 19 个点 忍不住 捂脸 前年 年末 限购
1609,越挫 越勇
1610,努力 加仓 加油 越跌
1611,终于 甩出去
1612,绿筹 净值 2.8 减仓 奸笑
1613,市场 连续 下跌 应对 思考 交易
1614,20 复权 均价 之上 之低 估值 股均 中线 极佳 投资品
1615,真的 垃圾 没停
1616,财经 晨信 10
1617,恒生指数 无可 境况 昨天 抄底
1618,清仓 不见 卸载
1619,算是 谷底
1620,2019 涨幅 60% 2020 涨幅 80% 两年 之内
1621,426 27 个点
1622,QDII OTCFUND 110011 张废
1623,最有 号召力 多头
1624,小命 小额 加仓 这帮 基民
1625,QDII OTCFUND 110011
1626,告诉
1627,价值 投资 留下来 真爱
1628,百分之三十
1629,收益
1630,挺住 是因为 价值 投资
1631,搞笑
1632,公募 一哥 开放 申购 抄底 信号 选择 没来
1633,公募 一哥 开放 申购 抄底 信号 选择 没来
1634,公募 一哥 开放 申购 抄底 信号 选择 没来
1635,公募 一哥 开放 申购 抄底 信号 选择
1636,后援会 第一个 后援会
1637,两年 收益 21%
1638,放开 申购 限额
1639,真坑
1640,七年 股价 二十倍 七年 业绩 增长 一点 四倍 很大
1641,始终 量化 投资 坤哥 弹药 放开 限购
